sq_mt_built,n_rooms,n_bathrooms,n_floors,buy_price,is_renewal_needed,has_lift,is_exterior,has_parking,energy_certificate,house_type
63.0,3,1,1,82000,0,0,1,0,0,0
59.0,2,1,1,126900,0,0,1,0,1,0
95.0,3,1,1,199000,0,0,1,1,0,0
65.0,2,1,1,232000,0,1,1,1,0,0
69.0,2,1,1,240000,0,1,1,0,0,0
115.0,4,2,1,330000,0,1,1,0,0,0
60.0,3,1,1,120000,0,0,1,0,0,0
90.0,3,2,1,172000,0,1,1,1,0,0
60.0,3,1,1,82260,0,1,1,0,0,0
65.0,2,1,1,109000,0,1,1,0,0,0
115.0,4,1,1,133000,0,1,1,0,0,0
83.0,3,2,1,111000,1,1,1,0,0,0
55.0,2,1,1,110000,0,0,1,0,0,0
80.0,2,2,1,179990,0,1,1,1,0,0
68.0,3,1,1,156000,0,0,1,0,0,0
89.0,2,2,1,228000,0,1,1,0,1,0
61.0,3,1,1,89000,0,0,1,0,0,0
67.0,3,1,1,119000,0,0,1,0,0,0
68.0,3,1,1,94000,0,0,1,0,0,0
92.0,3,2,1,175000,0,1,1,0,1,0
70.0,3,1,1,90000,0,0,1,0,0,0
63.0,3,1,1,167000,0,1,1,0,0,0
57.0,3,1,1,96000,0,0,1,0,0,0
63.0,3,1,1,84000,0,0,1,0,0,0
52.0,2,1,1,101000,1,0,1,0,0,0
125.0,3,2,1,210000,0,1,1,1,0,0
125.0,3,3,2,275000,0,1,1,0,4,3
75.0,3,1,1,131400,0,0,1,0,0,0
71.0,3,1,1,131400,0,0,1,0,0,0
80.0,3,1,1,95000,0,0,1,0,0,0
66.0,3,1,1,93000,0,0,1,0,0,0
95.0,2,2,1,154500,0,1,1,0,0,0
61.0,3,1,1,100000,0,0,1,0,0,0
42.0,4,1,1,95900,0,0,1,0,3,0
85.0,3,1,1,154900,0,0,1,1,0,0
80.0,2,1,1,115000,0,1,1,0,0,0
55.0,2,1,1,96000,0,0,1,0,0,0
60.0,0,1,1,85000,0,0,1,0,2,2
60.0,2,1,1,95000,0,0,1,0,0,0
55.0,3,1,1,78000,0,0,1,0,0,0
93.0,3,1,1,128500,0,0,1,0,0,0
55.0,2,1,1,95000,0,0,1,0,0,0
82.0,3,1,1,83900,0,0,1,0,0,0
53.0,2,1,1,96000,0,0,1,0,0,0
69.0,2,1,1,118600,0,0,1,0,0,0
